"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pairTrialsPerBlock","good_stim","reward_type","correct_response","accuracy"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field4.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field10.bmp'>","null","html-keyboard-response","36","28196","0.0-7.0-2.9","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","37","29197","0.0-7.0-0.10","fixation","","","","","","","",""
"362.5","<img src='stim/a/Field17.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field13.bmp'>","49","html-keyboard-response","38","29562","0.0-7.0-1.10","practice","ef","1","valid","6","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field17.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field13.bmp'>","null","html-keyboard-response","39","30578","0.0-7.0-2.10","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","40","31580","0.0-7.0-0.11","fixation","","","","","","","",""
"490.6999999999971","<img src='stim/a/Field13.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field17.bmp'>","49","html-keyboard-response","41","32074","0.0-7.0-1.11","practice","ef","1","valid","6","e","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field13.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field17.bmp'>","null","html-keyboard-response","42","33090","0.0-7.0-2.11","feedback","","","","","","","",""
"1545.7999999999956","<p>Great!</p> <p>Press the spacebar continue.</p>","32","html-keyboard-response","43","35154","0.0-8.0","","","","","","","","",""
"532.6999999999971","<p>Now you will see some more pictures.</p><p>Do as before by pressing the 1 to choose the picture on the left, and pressing the 2 to choose the picture on the right.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","44","35689","0.0-9.0","","","","","","","","",""
"557.5999999999985","<h3 style=""color:red;"">For the picture pairs where you can win money:</h3><p>You will not win every time you choose the ""best"" picture;</p><p>However, one picture gets rewarded much more often than the other picture.</p><h3 style=""color:red;"">For the picture pairs where the best you can do is keep your money:</h3><p>You will not be able to keep your money every time you choose the ""best"" picture;</p><p>However, one picture allows you to keep your money much more often than the other picture.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","45","36250","0.0-10.0","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","46","36765","0.0-11.0-0.0","fixation","","","","","","","",""
"120.70000000000436","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","49","html-keyboard-response","47","36889","0.0-11.0-1.0","training","ef","0.9","valid","20","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field12.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field9.bmp'>","null","html-keyboard-response","48","37905","0.0-11.0-2.0","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","49","38921","0.0-11.0-0.1","fixation","","","","","","","",""
"334.20000000000436","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","50","39258","0.0-11.0-1.1","training","ab","0.9","valid","20","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","51","40272","0.0-11.0-2.1","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","52","41289","0.0-11.0-0.2","fixation","","","","","","","",""
"310.5","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","53","41601","0.0-11.0-1.2","training","ab","0.9","invalid","20","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","54","42618","0.0-11.0-2.2","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","55","43622","0.0-11.0-0.3","fixation","","","","","","","",""
"257","<img src='stim/a/Field15.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field16.bmp'>","49","html-keyboard-response","56","43882","0.0-11.0-1.3","training","gh","0.8","invalid","20","g","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field15.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field16.bmp'>","null","html-keyboard-response","57","44898","0.0-11.0-2.3","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","58","45900","0.0-11.0-0.4","fixation","","","","","","","",""
"298.90000000000145","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","59","46201","0.0-11.0-1.4","training","ab","0.9","valid","20","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","60","47219","0.0-11.0-2.4","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","61","48235","0.0-11.0-0.5","fixation","","","","","","","",""
"308.20000000000436","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","62","48546","0.0-11.0-1.5","training","ab","0.9","valid","20","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","63","49561","0.0-11.0-2.5","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","64","50577","0.0-11.0-0.6","fixation","","","","","","","",""
"334.3000000000029","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","49","html-keyboard-response","65","50913","0.0-11.0-1.6","training","ef","0.9","valid","20","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field12.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field9.bmp'>","null","html-keyboard-response","66","51929","0.0-11.0-2.6","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","67","52944","0.0-11.0-0.7","fixation","","","","","","","",""
"254.5","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","68","53202","0.0-11.0-1.7","training","ab","0.9","valid","20","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","69","54216","0.0-11.0-2.7","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","70","55232","0.0-11.0-0.8","fixation","","","","","","","",""
"343.3000000000029","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","71","55577","0.0-11.0-1.8","training","cd","0.8","valid","20","c","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","72","56594","0.0-11.0-2.8","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","73","57609","0.0-11.0-0.9","fixation","","","","","","","",""
"302.3000000000029","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","74","57914","0.0-11.0-1.9","training","cd","0.8","valid","20","c","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","75","58932","0.0-11.0-2.9","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","76","59935","0.0-11.0-0.10","fixation","","","","","","","",""
"279.6999999999971","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","49","html-keyboard-response","77","60217","0.0-11.0-1.10","training","ef","0.9","valid","20","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field12.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field9.bmp'>","null","html-keyboard-response","78","61234","0.0-11.0-2.10","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","79","62248","0.0-11.0-0.11","fixation","","","","","","","",""
"263","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","80","62513","0.0-11.0-1.11","training","ab","0.9","valid","20","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","81","63531","0.0-11.0-2.11","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","82","64532","0.0-11.0-0.12","fixation","","","","","","","",""
"361.90000000000873","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","49","html-keyboard-response","83","64898","0.0-11.0-1.12","training","cd","0.8","invalid","20","c","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field11.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field14.bmp'>","null","html-keyboard-response","84","65915","0.0-11.0-2.12","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","85","66918","0.0-11.0-0.13","fixation","","","","","","","",""
"337","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","86","67258","0.0-11.0-1.13","training","cd","0.8","valid","20","c","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","87","68272","0.0-11.0-2.13","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","88","69289","0.0-11.0-0.14","fixation","","","","","","","",""
"342","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","89","69634","0.0-11.0-1.14","training","ab","0.9","valid","20","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","90","70649","0.0-11.0-2.14","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","91","71653","0.0-11.0-0.15","fixation","","","","","","","",""
"321.3999999999942","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","92","71978","0.0-11.0-1.15","training","cd","0.8","valid","20","c","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","93","72994","0.0-11.0-2.15","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","94","74001","0.0-11.0-0.16","fixation","","","","","","","",""
"461.8999999999942","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","49","html-keyboard-response","95","74465","0.0-11.0-1.16","training","cd","0.8","invalid","20","c","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field11.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field14.bmp'>","null","html-keyboard-response","96","75481","0.0-11.0-2.16","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","97","76498","0.0-11.0-0.17","fixation","","","","","","","",""
"333.3999999999942","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","98","76834","0.0-11.0-1.17","training","ab","0.9","valid","20","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","99","77851","0.0-11.0-2.17","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","100","78858","0.0-11.0-0.18","fixation","","","","","","","",""
"325.1000000000058","<img src='stim/a/Field15.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field16.bmp'>","49","html-keyboard-response","101","79186","0.0-11.0-1.18","training","gh","0.8","invalid","20","g","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field15.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field16.bmp'>","null","html-keyboard-response","102","80204","0.0-11.0-2.18","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","103","81220","0.0-11.0-0.19","fixation","","","","","","","",""
